Time,Type,Epoch,Step,Loss,Average_accuracy,R_Ankle,R_Knee,R_Hip,L_Hip,L_Knee,L_Ankle,Pelvis,Thorax,Upper_neck,Head_top,R_Wrist,R_Elbow,R_Shoulder,L_Shoulder,L_Elbow,L_Wrist
18:29:32_18.05.2019,valid,[12/100],[0/6],0.00130584,0.0078,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:29:43_18.05.2019,train,[13/100],[0/6],0.00157866,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
18:30:07_18.05.2019,train,[13/100],[1/6],0.00112369,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:30:32_18.05.2019,train,[13/100],[2/6],0.00144752,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:30:57_18.05.2019,train,[13/100],[3/6],0.00153194,0.0391,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.250,0.000,0.000,0.000,0.125,0.125,0.000
18:31:21_18.05.2019,train,[13/100],[4/6],0.00133274,0.0156,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:31:36_18.05.2019,train,[13/100],[5/6],0.00149040,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:31:48_18.05.2019,valid,[13/100],[0/6],0.00128188,0.0234,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:31:58_18.05.2019,train,[14/100],[0/6],0.00143077,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.250,0.000,0.125,0.000,0.000,0.000
18:32:22_18.05.2019,train,[14/100],[1/6],0.00162928,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125
18:32:47_18.05.2019,train,[14/100],[2/6],0.00138947,0.0078,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:33:12_18.05.2019,train,[14/100],[3/6],0.00132602,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:33:37_18.05.2019,train,[14/100],[4/6],0.00108752,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
18:33:53_18.05.2019,train,[14/100],[5/6],0.00171618,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:34:05_18.05.2019,valid,[14/100],[0/6],0.00122688,0.0156,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:34:17_18.05.2019,train,[15/100],[0/6],0.00108468,0.0234,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000
18:34:40_18.05.2019,train,[15/100],[1/6],0.00163916,0.0312,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.125,0.000,0.000,0.000
18:35:03_18.05.2019,train,[15/100],[2/6],0.00123773,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125
18:35:29_18.05.2019,train,[15/100],[3/6],0.00124710,0.0312,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000
18:35:53_18.05.2019,train,[15/100],[4/6],0.00120016,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:36:10_18.05.2019,train,[15/100],[5/6],0.00155050,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:36:21_18.05.2019,valid,[15/100],[0/6],0.00118180,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:36:31_18.05.2019,train,[16/100],[0/6],0.00134969,0.0234,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000
18:36:54_18.05.2019,train,[16/100],[1/6],0.00141289,0.0469,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.125
18:37:18_18.05.2019,train,[16/100],[2/6],0.00103266,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000
18:37:43_18.05.2019,train,[16/100],[3/6],0.00124441,0.0391,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000
18:38:08_18.05.2019,train,[16/100],[4/6],0.00106278,0.0391,0.125,0.000,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
18:38:24_18.05.2019,train,[16/100],[5/6],0.00105681,0.0312,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:38:37_18.05.2019,valid,[16/100],[0/6],0.00114430,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.125
18:38:48_18.05.2019,train,[17/100],[0/6],0.00103193,0.0234,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:39:12_18.05.2019,train,[17/100],[1/6],0.00111697,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.125,0.000,0.000,0.000
18:39:37_18.05.2019,train,[17/100],[2/6],0.00113252,0.0469,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000
18:40:02_18.05.2019,train,[17/100],[3/6],0.00120442,0.0156,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:40:26_18.05.2019,train,[17/100],[4/6],0.00121039,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000
18:40:42_18.05.2019,train,[17/100],[5/6],0.00143658,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000
18:40:54_18.05.2019,valid,[17/100],[0/6],0.00107900,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:41:04_18.05.2019,train,[18/100],[0/6],0.00130107,0.0156,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:41:27_18.05.2019,train,[18/100],[1/6],0.00112249,0.0547,0.000,0.250,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125
18:41:51_18.05.2019,train,[18/100],[2/6],0.00103989,0.0234,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:42:15_18.05.2019,train,[18/100],[3/6],0.00100712,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
18:42:39_18.05.2019,train,[18/100],[4/6],0.00125661,0.0234,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:42:55_18.05.2019,train,[18/100],[5/6],0.00127295,0.0938,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000
18:43:07_18.05.2019,valid,[18/100],[0/6],0.00108232,0.0312,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.125
18:43:17_18.05.2019,train,[19/100],[0/6],0.00121802,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:43:43_18.05.2019,train,[19/100],[1/6],0.00105026,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000
18:44:05_18.05.2019,train,[19/100],[2/6],0.00101065,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000
18:44:29_18.05.2019,train,[19/100],[3/6],0.00131769,0.0156,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:44:52_18.05.2019,train,[19/100],[4/6],0.00080086,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.125,0.125
18:45:08_18.05.2019,train,[19/100],[5/6],0.00123491,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:45:20_18.05.2019,valid,[19/100],[0/6],0.00101061,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.125
18:45:30_18.05.2019,train,[20/100],[0/6],0.00094500,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:45:55_18.05.2019,train,[20/100],[1/6],0.00100035,0.0469,0.000,0.125,0.000,0.000,0.000,0.125,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
18:46:20_18.05.2019,train,[20/100],[2/6],0.00110982,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:46:45_18.05.2019,train,[20/100],[3/6],0.00103496,0.0312,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:47:10_18.05.2019,train,[20/100],[4/6],0.00106254,0.0078,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:47:28_18.05.2019,train,[20/100],[5/6],0.00113801,0.0938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000
18:47:40_18.05.2019,valid,[20/100],[0/6],0.00097081,0.0391,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.125
18:47:50_18.05.2019,train,[21/100],[0/6],0.00109532,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:48:13_18.05.2019,train,[21/100],[1/6],0.00110388,0.0391,0.125,0.125,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:48:38_18.05.2019,train,[21/100],[2/6],0.00108785,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000
18:49:03_18.05.2019,train,[21/100],[3/6],0.00099282,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
18:49:27_18.05.2019,train,[21/100],[4/6],0.00087955,0.0391,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.125,0.000,0.000,0.000
18:49:43_18.05.2019,train,[21/100],[5/6],0.00071459,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000
18:49:55_18.05.2019,valid,[21/100],[0/6],0.00093481,0.0312,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
18:50:06_18.05.2019,train,[22/100],[0/6],0.00101440,0.0234,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000
18:50:29_18.05.2019,train,[22/100],[1/6],0.00097731,0.0234,0.000,0.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:50:53_18.05.2019,train,[22/100],[2/6],0.00088395,0.0156,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:51:18_18.05.2019,train,[22/100],[3/6],0.00102232,0.0078,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:51:42_18.05.2019,train,[22/100],[4/6],0.00104349,0.0391,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.125
18:51:58_18.05.2019,train,[22/100],[5/6],0.00106384,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:52:10_18.05.2019,valid,[22/100],[0/6],0.00091266,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.125
18:52:19_18.05.2019,train,[23/100],[0/6],0.00090162,0.0391,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.250
18:52:44_18.05.2019,train,[23/100],[1/6],0.00122619,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:53:09_18.05.2019,train,[23/100],[2/6],0.00089453,0.0234,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:53:32_18.05.2019,train,[23/100],[3/6],0.00094686,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125
18:53:55_18.05.2019,train,[23/100],[4/6],0.00093512,0.0234,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000
18:54:13_18.05.2019,train,[23/100],[5/6],0.00045677,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:54:25_18.05.2019,valid,[23/100],[0/6],0.00089110,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:54:36_18.05.2019,train,[24/100],[0/6],0.00080321,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.125
18:54:59_18.05.2019,train,[24/100],[1/6],0.00093162,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125
18:55:23_18.05.2019,train,[24/100],[2/6],0.00089421,0.0391,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.125,0.000
18:55:47_18.05.2019,train,[24/100],[3/6],0.00116433,0.0156,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:56:13_18.05.2019,train,[24/100],[4/6],0.00095029,0.0234,0.000,0.125,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:56:30_18.05.2019,train,[24/100],[5/6],0.00095328,0.0312,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:56:41_18.05.2019,valid,[24/100],[0/6],0.00087357,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
18:56:51_18.05.2019,train,[25/100],[0/6],0.00082190,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:57:16_18.05.2019,train,[25/100],[1/6],0.00102148,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:57:42_18.05.2019,train,[25/100],[2/6],0.00089501,0.0234,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
18:58:06_18.05.2019,train,[25/100],[3/6],0.00086353,0.0469,0.250,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000
18:58:28_18.05.2019,train,[25/100],[4/6],0.00088564,0.0156,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:58:46_18.05.2019,train,[25/100],[5/6],0.00135763,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000
18:59:00_18.05.2019,valid,[25/100],[0/6],0.00085600,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
18:59:12_18.05.2019,train,[26/100],[0/6],0.00080359,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18:59:38_18.05.2019,train,[26/100],[1/6],0.00081226,0.0078,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:00:06_18.05.2019,train,[26/100],[2/6],0.00089912,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
19:00:29_18.05.2019,train,[26/100],[3/6],0.00096738,0.0547,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.250,0.125,0.000,0.125,0.000,0.000,0.125
19:00:55_18.05.2019,train,[26/100],[4/6],0.00105057,0.0391,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.125
19:01:11_18.05.2019,train,[26/100],[5/6],0.00125398,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:01:23_18.05.2019,valid,[26/100],[0/6],0.00084020,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:01:33_18.05.2019,train,[27/100],[0/6],0.00083104,0.0391,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125
19:01:56_18.05.2019,train,[27/100],[1/6],0.00097595,0.0312,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000
19:02:23_18.05.2019,train,[27/100],[2/6],0.00087971,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:02:51_18.05.2019,train,[27/100],[3/6],0.00082180,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.250,0.000,0.000
19:03:18_18.05.2019,train,[27/100],[4/6],0.00089874,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000
19:03:36_18.05.2019,train,[27/100],[5/6],0.00116037,0.0938,0.000,0.500,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:03:50_18.05.2019,valid,[27/100],[0/6],0.00081765,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:04:01_18.05.2019,train,[28/100],[0/6],0.00089617,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125
19:04:27_18.05.2019,train,[28/100],[1/6],0.00093028,0.0547,0.125,0.125,0.250,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
19:04:53_18.05.2019,train,[28/100],[2/6],0.00083865,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:05:21_18.05.2019,train,[28/100],[3/6],0.00080389,0.0234,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000
19:05:46_18.05.2019,train,[28/100],[4/6],0.00089120,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125
19:06:02_18.05.2019,train,[28/100],[5/6],0.00088519,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:06:15_18.05.2019,valid,[28/100],[0/6],0.00079953,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:06:26_18.05.2019,train,[29/100],[0/6],0.00100049,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000
19:06:51_18.05.2019,train,[29/100],[1/6],0.00094778,0.0703,0.000,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.250,0.250,0.000,0.125
19:07:18_18.05.2019,train,[29/100],[2/6],0.00093764,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000
19:07:43_18.05.2019,train,[29/100],[3/6],0.00074037,0.0156,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000
19:08:08_18.05.2019,train,[29/100],[4/6],0.00079674,0.0234,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125
19:08:26_18.05.2019,train,[29/100],[5/6],0.00093971,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:08:39_18.05.2019,valid,[29/100],[0/6],0.00079265,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:08:51_18.05.2019,train,[30/100],[0/6],0.00069380,0.0234,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
19:09:16_18.05.2019,train,[30/100],[1/6],0.00093767,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125
19:09:43_18.05.2019,train,[30/100],[2/6],0.00089251,0.0156,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:10:09_18.05.2019,train,[30/100],[3/6],0.00089934,0.0312,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.125,0.000
19:10:36_18.05.2019,train,[30/100],[4/6],0.00077616,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:10:54_18.05.2019,train,[30/100],[5/6],0.00143840,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000
19:11:07_18.05.2019,valid,[30/100],[0/6],0.00079442,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:11:18_18.05.2019,train,[31/100],[0/6],0.00096551,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:11:44_18.05.2019,train,[31/100],[1/6],0.00075680,0.0234,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
19:12:10_18.05.2019,train,[31/100],[2/6],0.00087625,0.0547,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.250,0.000,0.125,0.000,0.000,0.125,0.000,0.125,0.000
19:12:39_18.05.2019,train,[31/100],[3/6],0.00084045,0.0078,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:13:07_18.05.2019,train,[31/100],[4/6],0.00089938,0.0391,0.125,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000
19:13:26_18.05.2019,train,[31/100],[5/6],0.00077559,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19:13:39_18.05.2019,valid,[31/100],[0/6],0.00076898,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
19:13:49_18.05.2019,train,[32/100],[0/6],0.00076895,0.0156,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
19:14:14_18.05.2019,train,[32/100],[1/6],0.00089783,0.0391,0.000,0.000,0.000,0.000,0.000,0.250,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
19:14:40_18.05.2019,train,[32/100],[2/6],0.00077415,0.0391,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.250
19:15:08_18.05.2019,train,[32/100],[3/6],0.00082652,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000
